"Gene"	"logFC"	"AveExpr"
"Brinp3"	-1.92040698516041	6.33733039821208
"Tle4"	-1.68336568459123	6.88285301682597
"Rab26"	-1.83060602348488	5.57320249551508
"Ipcef1"	-1.97594838378759	4.80047582596103
"Rassf2"	1.08094275753519	5.89304511598244
"Nxph3"	-3.27998684674834	4.6844454153822
"Sstr2"	-1.81121949561318	4.21103179776388
"Lrrtm2"	-1.3944222489979	6.54430209960799
"Slc12a4"	1.15991299670081	4.67930875026887
"Mmp17"	-1.49501128824438	4.88012776167525
"Grik3"	-2.15719060625699	5.79188690074397
"Sema3b"	1.19569116293072	3.8296978837937
"Lcat"	2.34300858478876	3.16122865039596
"Slc15a5"	-4.36251526448858	-0.729790612404489
"Fezf2"	-3.26808578909886	3.83863016451956
"Timp3"	1.56223438651822	5.79531613070515
"Tmem178a"	-1.10750788872736	6.11516832710677
"B3galt2"	-1.96941106776529	6.35779190752261
"Mmp14"	2.09799783149496	4.74888082665684
"Myh3"	-3.34349940958142	2.75661816294895
"Sema3e"	-1.70651857175192	4.86298317757637
"Sema3c"	-2.24941325061304	6.13303007837396
"Vim"	2.14866755332731	7.190353197908
"Stat5b"	0.85511314814476	5.16962101847768
"Kcna6"	-1.10591038236571	6.54586068601846
"Ociad2"	-1.33398948893661	5.26213130851916
"Rprm"	-3.92329359056483	4.15038795473588
"Myh2"	-2.46704354591536	1.34393377689194
"Igfbp2"	2.35543065131134	6.61213878691875
"Insrr"	4.19098393633827	-0.149488242017044
"Kank4"	1.78315378371146	3.02335578657603
"Kcnf1"	-1.12332613758119	6.4245272144522
"Upk1b"	4.52638405570982	-1.19978833821788
"Phactr2"	1.34445829724858	3.33392033224137
"Cntnap4"	-1.56660480171573	6.27615292709493
"Aldh1l1"	1.01226922307373	5.58902469301356
"RGD1561849"	-1.22446201469004	7.24759139088104
"Scarf2"	1.173467508517	4.64885856889722
"Sulf1"	-2.66195442347391	4.56248473227568
"Bhmt"	-4.21032523771635	0.831492421646914
"Msln"	4.74052422477646	0.619495900029231
"Stat3"	0.627708620295369	6.1521775722498
"Bmp7"	2.71051272389881	3.50860807634795
"Slc38a3"	0.804618083642616	6.81178306644664
"Ddr2"	2.23289627325872	4.04280787581846
"Eepd1"	-1.04787717290926	4.96710568222615
"Svil"	1.65194358901069	5.34352478691672
"Kcnmb4"	-1.05087112522843	5.8449935985599
"Mxra8"	1.65971910674921	3.93204895200538
"Il17re"	3.45413931777477	-0.455565131455632
"Fgf9"	1.28280187602238	2.85509770942504
"Anks1b"	-0.492208091314506	8.59767646046023
"Plcb3"	0.815533172496021	4.3606424234738
"Camk2d"	0.843651421971908	7.44112848558518
"Drd5"	-3.65473128455761	-0.404409226576667
"Tnfrsf1a"	1.26791209719763	3.51801061914942
"Cyth2"	-0.703920094589256	7.15922844158899
"Ndrg3"	-0.761012016575025	8.33350114708318
"Cpxm1"	1.38303279346552	4.55909320319659
"Lingo2"	0.866005442101974	4.75882417994741
"Stom"	1.26099907647641	3.43420015517006
"Vangl1"	0.995358102935829	3.39194260327764
"Tgfbr3"	1.89949675011996	3.84084787479873
"Itga8"	-1.35784861936153	4.4594380726193
"Aebp1"	2.49151293256875	4.88924035586161
"Col14a1"	2.66826582369085	2.4268962924591
"Ptpn13"	1.50571085932261	4.89005115025739
"Neto2"	-0.946893627621439	6.19891960233887
"Dcc"	0.798534090216723	6.23587466892148
"Lcp1"	-1.46250623378031	5.14942496816146
"Bok"	0.813035841651507	5.71230100952681
"Slc26a2"	1.69395739302937	3.76057344189693
"Htra3"	1.62318877527203	3.74846479264685
"Plod1"	1.16201783252003	4.59983825080979
"Heph"	1.6591116281381	3.30907632792483
"Inpp4b"	0.761470427415152	4.90783659550136
"Myh1"	-2.42148873430942	1.66645754922267
"Calb1"	1.5310508423213	6.91207652113667
"Htr1a"	1.17706656709304	3.86848024570436
"Cldn2"	4.21733578646235	-0.988870605435325
"Tcn2"	1.21070495884426	4.70187981671964
"Cubn"	2.97990303404839	1.2566066863437
"Tagln2"	1.29653412963945	4.63537707127967
"Jam2"	0.890291614655856	5.76361040045174
"Net1"	1.66085435565995	5.50615855659805
"Pc"	0.51974346240928	6.58334453905424
"Ctgf"	-1.90008401847227	4.09559938395172
"Slc12a7"	2.16097394356659	3.78946461736574
"Paqr8"	0.848472594089791	5.39985755201813
"Ssfa2"	0.788984561689836	5.38494191403441
"Bnc2"	4.98601297997302	0.831320317961459
"Golim4"	1.04249157253181	4.69789146805551
"Mrc2"	2.51246882900848	4.2432704872806
"Thsd7b"	-1.26892185942951	5.6453277753184
"Eln"	1.47253980891157	4.59725530775763
"Mpzl2"	5.24897063634678	-0.52543251622089
"Traip"	-1.0976248574632	3.84933531053743
"Adamts9"	1.77298653658058	3.62489067246837
"Cpt1a"	0.83316364385447	5.84427172888639
"Vcl"	0.862171111367751	6.08638157191594
"Hmgcs2"	1.4958678937877	4.34687082925074
"Icam1"	2.18488931768559	1.73418170440688
"Ptgfr"	3.38733796363855	1.08155458128022
"Pcsk5"	-1.59877512800545	5.06173525667598
"Nptx1"	-1.80717913130383	6.06203151021857
"Myl9"	1.62746497790792	4.40535821307211
"Spx"	3.41228255304818	-2.07892940258845
"Fkbp9"	1.51571545600958	5.30523775855797
"Itgb4"	4.5178543259187	2.31494225219721
"Sox5"	-1.02820974629335	5.71982494092508
"Cplx3"	-2.71923334318746	3.34070551816628
"Tgfbi"	2.56992330080086	2.56978398980333
"Tagln"	2.66155271964235	3.26335169152146
"Atp1a2"	1.18814152816672	9.75871146415004
"Pdpn"	1.22415191676501	5.13104616369424
"Evc"	1.0251007738725	3.2663769466233
"Slc2a1"	0.63132111058328	6.17260893142277
"Nin"	-0.844687721960505	5.66127577591953
"Tlr5"	2.64919820559324	-1.67564383717391
"Loxl1"	1.76901062816193	4.19688331607797
"Lamb2"	1.43835242279377	5.70240079173768
"Aspg"	3.95231236992034	0.216515630927025
"Aldh2"	0.779882420544946	5.81307034426758
"Nxn"	0.952038374786643	4.65767734959983
"Col5a2"	1.94722098622612	5.1495838321211
"Slc6a12"	2.93298883265369	-0.930872181136152
"Slc22a2"	3.24174532408755	-2.06649354637352
"Rai14"	0.984979934611318	4.58016470674786
"Alpl"	1.56499406408587	4.17755890227536
"Pear1"	1.31348206865341	4.28718144249936
"Pdlim5"	0.989640047522378	5.09951109204291
"Anxa8"	4.24571658122121	-1.00505606777709
"Axl"	0.804095308325038	5.39164763993585
"Stat5a"	1.59437278359846	1.72962897535195
"Brinp2"	-0.829347286449513	7.04484775234872
"Tshz3"	-1.66145834941722	4.96476595874718
"Gfap"	1.28103058535469	8.31967568232357
"Cybrd1"	2.27744461579593	1.4925168756578
"Tmem164"	0.971715038228682	6.32500989932336
"Trpc6"	0.948124796321746	4.24411564367413
"Abcc3"	1.63903020694815	1.67575016705796
"Pdzrn3"	0.904953832647685	6.03133050968637
"Uaca"	1.39593841336694	4.69779277992733
"Wnt5a"	1.84592975813752	1.60213977366745
"Rgs18"	-3.6792650081337	0.767104971604583
"Slc27a1"	0.562626931306989	6.34650168691851
"Pros1"	1.31014537272298	3.79920257192016
"Fkbp10"	1.48557343292583	4.02202867324735
"Foxc2"	4.49518810727691	0.244582663776429
"Zfp423"	0.839353962871848	5.73059591744563
"Smo"	1.20546314987581	3.88266558828612
"Tnxa-ps1"	1.5842372603844	1.54748340995922
"Abcb1a"	1.01453054210456	5.00828513440006
"Zbtb7c"	1.55205387141237	2.84551462877846
"Sh3rf2"	3.60648235946996	-0.627204207474074
"Lrrc63"	-2.55013421529301	-0.718899758563975
"Prkca"	0.782863591813557	6.64800710321678
"Lama5"	1.33931526934892	4.21466153691188
"Slco2a1"	3.12857729656058	1.70207576628537
"Zfp217"	1.2707802900281	2.53776003403488
"Plat"	1.21238484258803	5.71253589536935
"Six1"	4.23303841958919	-1.27883207303758
"Wwtr1"	1.23499692054963	3.93406232540844
"Sfrp1"	2.36908178693126	4.93138130223134
"Cyba"	1.52862566501819	3.00414381572153
"Lect1"	3.44171330974201	-2.15356413253356
"Tbr1"	-2.11419244089109	4.9901421510632
"Prss12"	-2.61261812744775	4.65823850023369
"Dync1i1"	-0.856262174919868	8.35715249102958
"Ano6"	0.837964296329109	5.17949599691574
"Reln"	1.69262279495203	8.61481577088214
"Ptrf"	1.86402409493446	4.25822911295341
"Gypc"	2.27627767277014	1.59668423017254
"Ltbr"	1.02528993515859	4.40982585587579
"Sstr4"	-0.957475341835672	3.80046426136232
"Serpinb10"	3.40794975237785	-1.90518289787777
"Myh11"	1.81165998812227	3.85991425706671
"Dap"	0.964621042866484	3.7853980076795
"Emp2"	1.67957192879692	2.32570565669614
"Fzd2"	1.09472140320646	3.75359763950534
"Kank2"	1.82296296363947	4.91498324507696
"Fcgrt"	1.34749282191622	5.07244226728844
"Mpped2"	0.838386394475959	4.9300996370423
"Slc9a3r1"	0.735645612623439	5.4214891302899
"Cp"	2.01745641308406	4.20875036697332
"Ptgis"	2.40479288179878	0.748245667936956
"Nxph4"	-2.59128657406012	1.70704087748674
"Sardh"	0.700892822427341	4.20596441278621
"Cdh1"	5.36519339296403	1.46822963917019
"LOC691995"	-0.845944386605982	7.4783251156141
"Vstm4"	1.73101691539801	2.31359746579889
"Bcan"	0.688730101116099	8.37954407113773
